,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,,365,Fanta Strawbry Bottomless,15,,,,,
,,,366,Coke Can,8,,,,,
,,,367,Diet Coke Can,8,,,,,
,,,368,Sprite Can,8,,,,,
,,,369,Fanta Orange Can,8,,,,,
,,,370,Fanta Strawberry Can,8,,,,,
,,,371,Fresh Orange Juice,20,,,,,
,,,372,Iced Tea Bottomless,16,,,,,
,,,373,Fresh Lemonade,16,,,,,
,,,374,Still Water Sml,10,,,,,
,,,375,Still Water Lrg,15,,,,,
,,,376,Sparkling Water Sml,12,,,,,
,,,377,Sparkling Water Lrg,18,,,,,
,,,378,Hi-C Orange,6,,,,,
,,,379,Hi-C Mango,6,,,,,
,,,380,Hi-C Apple,6,,,,,
,,,381,Delivery Ice Tea,9,,,,,
,,,382,BOS Ice Tea Lemon,5,,,,,
,,,383,BOS Ice Tea Apple,5,,,,,
,,,384,BOS Ice Tea Peach,5,,,,,
,,,385,BOS Ice Tea Berry,5,,,,,
,,,386,BOS Ice Tea Lime & Ginger,5,,,,,
,,,387,Red Bull,20,,,,,
,,,388,Softdrink Bottomless,16,,,,,
,,,389,Still Water Lrg,17,,,,,
,,,390,Sparkling Water Lrg,19,,,,,
,Page,,,,,,,,,
,DRINKS +,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,391,Madeira Red,19,,,,,
,,,392,Frosted Lemon & Mint,20,,,,,
,,,393,Caipirinha,19,,,,,
,,,394,Sparkling Apple,19,,,,,
,,,395,Lemonada Rosa,19,,,,,
,,,396,Spicy Mango,19,,,,,
,,,397,Mango Cooler,19,,,,,
,,,398,Rosa Margarita,20,,,,,
,,,399,Ice Mintea,19,,,,,
,,,400,Crimson Cola,19,,,,,
,,,401,Frosted SBerry Lemonade,19,,,,,
,,,402,Frosted Mango,19,,,,,
,,,403,Oreo Milkshake,22,,,,,
Page:,,7,,,,,,,ERP Code,
,,,404,Rose Pistachio Milkshake,22,,,,,
,,,405,Mars Bar Milkshake,22,,,,,
,,,406,Strawberry Milkshake,22,,,,,
,,,407,Oreo Milkshake,18,,,,,
,,,408,Choco-Mars Milkshake,18,,,,,
,,,409,Strawberry Milkshake,18,,,,,
,,,410,Orange Desire,20,,,,,
,,,411,Pomegranate Sparkler,20,,,,,
,,,412,Yuzu Lemonade,20,,,,,
,,,413,BERi-BERi,20,,,,,
,,,414,Leche Biscoffe,22,,,,,
,,,415,Fresh Lemonade,17,,,,,
,,,416,Casa Drink,22,,,,,
,Page,,,,,,,,,
,HOT DRINKS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,421,Cappuccino,15,,,,,
,,,422,Galao,15,,,,,
,,,423,Americano,15,,,,,
,,,424,Espresso,10,,,,,
,,,425,Hot Chocolate,16,,,,,
,,,426,Herbal Tea,15,,,,,
,,,427,Double Espresso,12,,,,,
,Page,,,,,,,,,
,EXTRA,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,451,Deboned Chicken,11,,,,,
,,,452,Cheddar Cheese,4,,,,,
,,,453,Pineapple,4,,,,,
,,,454,Feta Cheese,4,,,,,
,,,455,Halloumi Cheese,6,,,,,
,,,456,PERInaise,5,,,,,
,,,457,Portuguese Roll,5,,,,,
,,,458,Toasted Pita Bread,5,,,,,
,,,459,PERI-PERI Drizzle,5,,,,,
,,,460,Grilld Chkn Breast Fillet,14,,,,,
,,,461,Extra toppings,5,,,,,
,,,462,Ice Cream Scoops,7,,,,,
,,,463,Creamy Dip,5,,,,,
,,,464,Beef Steak,30,,,,,
,,,465,Btl LemonHerb,15,,,,,
,,,466,Btl Medium,15,,,,,
,,,467,Btl Mild,15,,,,,
,,,468,Btl Hot,15,,,,,
,,,469,Btl WildHerb,15,,,,,
,,,470,Btl Garlic,15,,,,,
,,,471,Btl Extrahot,15,,,,,
,,,472,Btl XXtrahot,15,,,,,
,,,473,Grilled Chkn Strips,14,,,,,
,,,474,Portobello Mushroom,6,,,,,
,,,475,Bird's Eye Chilli Jam,5,,,,,
,,,476,Btl Mango & Lime,15,,,,,
,,,477,Nando's Salsa,5,,,,,
,,,478,Tomato Relish,5,,,,,
,,,479,Nando's Yogurt Dip,5,,,,,
Page:,,8,,,,,,,,
,,,480,Avocado,6,,,,,
,Page,,,,,,,,,
,EXTRA +,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,511,Lentil Soup Add On,13,,,,,
,,,512,Chicken Soup Add On,13,,,,,
,,,513,Lighten Up Add On,20,,,,,
,,,514,Caramel CCake Add On,20,,,,,
,,,515,Blueberry CCake Add On,20,,,,,
,,,516,Lotus CCake Add On,20,,,,,
,,,517,Pastries D Natas Add On,20,,,,,
,,,518,Reg Spicy Rice,6,,,,,
,,,519,Reg Coleslaw,6,,,,,
,,,520,Reg Peri Chips,6,,,,,
,,,521,Reg Chargrilled Veg,6,,,,,
,,,522,Reg Garlic Bread,6,,,,,
,,,523,Reg 3 Bead Salad,6,,,,,
,,,524,Reg PERI Wedges,6,,,,,
,,,525,Reg Corn-on-the-COB,6,,,,,
,,,526,Reg Spinach,6,,,,,
,,,527,PERI-PERI Drizzle,6,,,,,
,,,528,Grilld Chkn Breast Fillet,15,,,,,
,,,529,Grilld Chkn Tenders,15,,,,,
,Page,,,,,,,,,
,HEALTHY-ISH,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,541,BFly Chkn +Veg+Spinach,53,,,,,
,,,542,Espetada +Olives+Spinach,72,,,,,
,,,543,Quinoa Salad +Chkn Strips,53,,,,,
,,,544,Cataplana Porto + Veg,58,,,,,
,,,545,Cataplana Algarve + Veg,58,,,,,
,,,546,Chkn Strips + Cauli Mash,25,,,,,
,Page,,,,,,,,,
,RETAILS +,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,631,Btl LemonHerb,13,,,,,
,,,632,Btl Medium,13,,,,,
,,,633,Btl Mild,13,,,,,
,,,634,Btl Hot,13,,,,,
,,,635,Btl WildHerb,13,,,,,
,,,636,Btl Garlic,13,,,,,
,,,637,Btl Extrahot,13,,,,,
,,,638,Btl XXtrahot,13,,,,,
,,,639,Btl Creamy Garlic,13,,,,,
,,,640,Btl Pepper Sauce,13,,,,,
,Page,,,,,,,,,
,PROMO,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,721,Cataplana Porto,64,,,,,
,,,722,Cataplana Al Garve,64,,,,,
,,,723,Classic Platter,225,,,,,
,,,724,Snack Platter,235,,,,,
Page:,,9,,,,,,,ERP Code,
,,,725,Chicken Platter,225,,,,,
,,,726,Grilled Halloumi on Stick,30,,,,,
,,,727,Chicken Liver Meal,25,,,,,
,,,728,Chicken Meal,26,,,,,
,,,729,Chicken Kebab Meal,26,,,,,
,,,730,FGF Espetada,85,,,,,
,,,731,FGF Cataplana,80,,,,,
,,,732,FGF Butterfly,75,,,,,
,,,733,BPW Lunch,45,,,,,
,,,734,Sweet Endings,29,,,,,
,,,735,Chk Tenders & Spicy Rice,25,,,,,
,,,736,Carnival Cooler,69,,,,,
,,,737,Chkn Wrap S1 w/ Ice Tea,30,,,,,
,,,738,Feast Platter,189,,,,,
,,,739,Ramadan Cooler,79,,,,,
,,,740,Jumbo Carnival Cooler,40,,,,,
,,,741,Pulled Chicken Tigela,27,,,,,
,,,742,Sharing Platter,120,,,,,
,,,743,Valentines Meal,110,,,,,
,,,744,Ramadan Espetada,69,,,,,
,,,745,Feast Platter,169,,,,,
,,,746,Festival Platter,299,,,,,
,,,747,WC Wing Roulette Platter,118,,,,,
,,,749,Lunchbox 29,29,,,,,
,Page,,,,,,,,,
,RETAILS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,751,Btl LemonHerb,15,,,,,
,,,752,Btl Medium,15,,,,,
,,,753,Btl Mild,15,,,,,
,,,754,Btl Hot,15,,,,,
,,,755,Btl WildHerb,15,,,,,
,,,756,Btl Garlic,15,,,,,
,,,757,Btl Extrahot,15,,,,,
,,,758,Btl XXtrahot,15,,,,,
,,,759,Btl Mango & Lime,15,,,,,
,,,760,Btl Creamy Garlic,15,,,,,
,,,761,Btl Pepper Sauce,15,,,,,
,,,762,PERi-PERi x2,20,,,,,
,,,763,PERinaise Garlic,13,,,,,
,,,764,PERinaise Mild,13,,,,,
,,,765,PERinaise Hot,13,,,,,
,,,766,PERinaise Garlic,10,,,,,
,,,767,PERinaise Mild,10,,,,,
,,,768,PERinaise Hot,10,,,,,
,,,772,Flavor Shaker - BRAAI,0,,,,,
,,,773,Flavor Shaker - G & H,0,,,,,
,,,774,Flavor Shaker - Hot,0,,,,,
,,,775,Flavor Shaker - Medium,0,,,,,
,,,776,Gift Card 50,50,,,,,
,,,777,Gift Card 100,100,,,,,
,,,778,Gift Card 200,200,,,,,
,,,779,Creamy Garlic Promo,0,,,,,
,,,780,PERinaise,8,,,,,
,Page,,,,,,,,,
,CASA DEALS,,,,,,,,,
Page:,,10,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,781,Peri Chkn Livers Bowl,25,,,,,
,,,782,Peri Chkn Skewers,22,,,,,
,,,783,1/4 Chkn & Saucy Rice,29,,,,,
